rate,th,snr,snr_min,snr_max,order,modulation
0.029296875,0.0586,-6.0,-6.5,-5.5,2,qpsk
0.048828125,0.0977,-4.5,-5.0,-4.0,2,qpsk
0.076171875,0.1523,-3.0,-3.5,-2.5,2,qpsk
0.1171875,0.2344,-1.5,-2.0,-1.0,2,qpsk
0.18359375,0.3770,0.0,-0.5,0.5,2,qpsk
0.30078125,0.6016,1.8,1.3,2.3,2,qpsk
0.44140625,0.8770,3.5,3.0,4.0,2,qpsk
0.58789063,1.1758,5.1,4.6,5.6,2,qpsk
0.36914063,1.4766,6.8,6.3,7.3,4,16qam
0.47851563,1.9141,8.5,8.0,9.0,4,16qam
0.55273438,2.4063,10.0,9.5,10.5,4,16qam
0.6484375,2.7305,11.5,11.0,12.0,4,16qam
0.75390625,3.2227,13.0,12.5,13.5,4,16qam
0.45507813,3.3223,15.0,14.5,15.5,6,64qam
0.55371094,3.9023,16.5,16.0,17.0,6,64qam
0.75390625,4.5234,18.2,17.7,18.7,6,64qam