ue_id,serving_gnb,connected,x,y,vx,vy,queue,throughput,delay_steps,new_bits,served_bits,scheduled_bits,dropped_bits,total_bits_arrived,total_bits_dropped,traffic_packet_size_bits,offered_bit_rate,allocated_prbs,rx_probability,mcs,spectral_efficiency,scheduled_sinr_db,scheduler_mode,snr_db,sinr_db,rx_power_dbm,noise_dbm,interference_dbm,target_gnb,ho_pending,ho_candidate,ho_counter,environment_loss_db,step
0,0,True,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.32353979999999,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,0
1,0,True,80.0,40.0,0.0,0.0,0.0,12000.0,0.0,600.0,600.0,600.0,0.0,600.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.79402028,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,0
0,0,True,35.0,0.0,0.0,0.0,0.0,12000.0,0.0,600.0,600.0,600.0,0.0,600.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.367815799999995,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,1
1,0,True,80.0,40.0,0.0,0.0,0.0,23760.0,0.0,600.0,600.0,600.0,0.0,1200.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.779631439999996,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,1
0,0,True,35.0,0.0,0.0,0.0,0.0,11760.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.403795,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,2
1,0,True,80.0,40.0,0.0,0.0,0.0,35284.8,0.0,600.0,600.0,600.0,0.0,1800.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.76233954,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,2
0,0,True,35.0,0.0,0.0,0.0,0.0,23524.8,0.0,600.0,600.0,600.0,0.0,1200.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.437269400000005,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,3
1,0,True,80.0,40.0,0.0,0.0,0.0,46579.104,0.0,600.0,600.0,600.0,0.0,2400.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.737007760000004,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,3
0,0,True,35.0,0.0,0.0,0.0,0.0,23054.304,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.461023399999995,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,4
1,0,True,80.0,40.0,0.0,0.0,0.0,57647.52192,0.0,600.0,600.0,600.0,0.0,3000.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.708434860000004,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,4
0,0,True,35.0,0.0,0.0,0.0,0.0,34593.217919999996,0.0,600.0,600.0,600.0,0.0,1800.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.483463,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,5
1,0,True,80.0,40.0,0.0,0.0,0.0,68494.5714816,0.0,600.0,600.0,600.0,0.0,3600.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.67166714,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,5
0,0,True,35.0,0.0,0.0,0.0,0.0,33901.35356159999,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.4954104,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,6
1,0,True,80.0,40.0,0.0,0.0,0.0,79124.680051968,0.0,600.0,600.0,600.0,0.0,4200.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.633479820000005,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,6
0,0,True,35.0,0.0,0.0,0.0,0.0,45223.326490367996,0.0,600.0,600.0,600.0,0.0,2400.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.5057306,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,7
1,0,True,80.0,40.0,0.0,0.0,0.0,89542.18645092864,0.0,600.0,600.0,600.0,0.0,4800.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.58842396000001,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,7
0,0,True,35.0,0.0,0.0,0.0,0.0,44318.859960560636,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.507070000000006,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,8
1,0,True,80.0,40.0,0.0,0.0,0.0,99751.34272191007,0.0,600.0,600.0,600.0,0.0,5400.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.543033099999995,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,8
0,0,True,35.0,0.0,0.0,0.0,0.0,55432.48276134942,0.0,600.0,600.0,600.0,0.0,3000.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.5053072,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,9
1,0,True,80.0,40.0,0.0,0.0,0.0,109756.31586747187,0.0,600.0,600.0,600.0,0.0,6000.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.493787184,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,9
0,0,True,35.0,0.0,0.0,0.0,0.0,54323.83310612243,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.4960448,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,10
1,0,True,80.0,40.0,0.0,0.0,0.0,119561.18955012244,0.0,600.0,600.0,600.0,0.0,6600.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.444457186,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,10
0,0,True,35.0,0.0,0.0,0.0,0.0,65237.35644399998,0.0,600.0,600.0,600.0,0.0,3600.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.48236599999999,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,11
1,0,True,80.0,40.0,0.0,0.0,0.0,129169.96575911998,0.0,600.0,600.0,600.0,0.0,7200.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.393119408000004,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,11
0,0,True,35.0,0.0,0.0,0.0,0.0,63932.60931511998,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.4628562,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,12
1,0,True,80.0,40.0,0.0,0.0,0.0,138586.5664439376,0.0,600.0,600.0,600.0,0.0,7800.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.34177948,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,12
0,0,True,35.0,0.0,0.0,0.0,0.0,74653.95712881758,0.0,600.0,600.0,600.0,0.0,4200.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.4372656,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,13
1,0,True,80.0,40.0,0.0,0.0,0.0,147814.83511505884,0.0,600.0,600.0,600.0,0.0,8400.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.28997538,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,13
0,0,True,35.0,0.0,0.0,0.0,0.0,73160.87798624122,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.4070276,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,14
1,0,True,80.0,40.0,0.0,0.0,0.0,156858.53841275765,0.0,600.0,600.0,600.0,0.0,9000.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.237639200000004,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,14
0,0,True,35.0,0.0,0.0,0.0,0.0,83697.66042651639,0.0,600.0,600.0,600.0,0.0,4800.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.369197400000004,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,15
1,0,True,80.0,40.0,0.0,0.0,0.0,165721.3676445025,0.0,600.0,600.0,600.0,0.0,9600.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.185636980000005,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,15
0,0,True,35.0,0.0,0.0,0.0,0.0,82023.70721798606,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.328086000000006,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,16
1,0,True,80.0,40.0,0.0,0.0,0.0,174406.94029161244,0.0,600.0,600.0,600.0,0.0,10200.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.132059798,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,16
0,0,True,35.0,0.0,0.0,0.0,0.0,92383.23307362634,0.0,600.0,600.0,600.0,0.0,5400.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.27786828,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,17
1,0,True,80.0,40.0,0.0,0.0,0.0,182918.8014857802,0.0,600.0,600.0,600.0,0.0,10800.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.079257258,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,17
0,0,True,35.0,0.0,0.0,0.0,0.0,90535.5684121538,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.225692880000004,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,18
1,0,True,80.0,40.0,0.0,0.0,0.0,191260.42545606458,0.0,600.0,600.0,600.0,0.0,11400.0,0.0,600.0,600000.0,2,1.0,25,5.4,35.0236488424,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,18
0,0,True,35.0,0.0,0.0,0.0,0.0,100724.85704391073,0.0,600.0,600.0,600.0,0.0,6000.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.16289978,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,19
1,0,True,80.0,40.0,0.0,0.0,0.0,199435.21694694328,0.0,600.0,600.0,600.0,0.0,12000.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.969183447999995,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,19
0,0,True,35.0,0.0,0.0,0.0,0.0,98710.35990303251,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,600.0,300000.0,0,0.0,25,5.4,45.098295639999996,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,20
1,0,True,80.0,40.0,0.0,0.0,0.0,207446.5126080044,0.0,600.0,600.0,600.0,0.0,12600.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.910657140000005,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,20
0,0,True,35.0,0.0,0.0,0.0,0.0,108736.15270497186,0.0,600.0,600.0,600.0,0.0,6600.0,0.0,600.0,300000.0,2,1.0,25,5.4,45.02383074,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,21
1,0,True,80.0,40.0,0.0,0.0,0.0,215297.58235584432,0.0,600.0,600.0,600.0,0.0,13200.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.852883864,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,21
0,0,True,35.0,0.0,0.0,0.0,0.0,106561.42965087242,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,600.0,300000.0,0,0.0,25,5.4,44.946260639,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,22
1,0,True,80.0,40.0,0.0,0.0,0.0,222991.63070872743,0.0,600.0,600.0,600.0,0.0,13800.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.79115452599999,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,22
0,0,True,35.0,0.0,0.0,0.0,0.0,116430.20105785497,0.0,600.0,600.0,600.0,0.0,7200.0,0.0,600.0,300000.0,2,1.0,25,5.4,44.860111960000005,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,23
1,0,True,80.0,40.0,0.0,0.0,0.0,230531.79809455288,0.0,600.0,600.0,600.0,0.0,14400.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.728907879999994,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,23
0,0,True,35.0,0.0,0.0,0.0,0.0,114101.59703669787,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,600.0,300000.0,0,0.0,25,5.4,44.76928840000001,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,24
1,0,True,80.0,40.0,0.0,0.0,0.0,237921.16213266182,0.0,600.0,600.0,600.0,0.0,15000.0,0.0,600.0,600000.0,2,1.0,25,5.4,34.662929170000005,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,24
0,0,True,35.0,0.0,0.0,0.0,0.0,147819.56509596392,0.0,1800.0,1800.0,1800.0,0.0,9000.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.67111044,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,25
1,0,True,80.0,40.0,0.0,0.0,0.0,293162.73889000854,0.0,3000.0,3000.0,3000.0,0.0,18000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.595071968,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,25
0,0,True,35.0,0.0,0.0,0.0,0.0,192863.17379404465,0.0,2400.0,2400.0,2400.0,0.0,11400.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.5667035,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,26
1,0,True,80.0,40.0,0.0,0.0,0.0,347299.48411220836,0.0,3000.0,3000.0,3000.0,0.0,21000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.52380263999999,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,26
0,0,True,35.0,0.0,0.0,0.0,0.0,225005.91031816375,0.0,1800.0,1800.0,1800.0,0.0,13200.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.456103368600004,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,27
1,0,True,80.0,40.0,0.0,0.0,0.0,400353.49442996416,0.0,3000.0,3000.0,3000.0,0.0,24000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.449735520000004,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,27
0,0,True,35.0,0.0,0.0,0.0,0.0,256505.79211180046,0.0,1800.0,1800.0,1800.0,0.0,15000.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.33774681999999,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,28
1,0,True,80.0,40.0,0.0,0.0,0.0,452346.4245413649,0.0,3000.0,3000.0,3000.0,0.0,27000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.3731615,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,28
0,0,True,35.0,0.0,0.0,0.0,0.0,299375.6762695644,0.0,2400.0,2400.0,2400.0,0.0,17400.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.214289259999994,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,29
1,0,True,80.0,40.0,0.0,0.0,0.0,503299.49605053756,0.0,3000.0,3000.0,3000.0,0.0,30000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.2932517,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,29
0,0,True,35.0,0.0,0.0,0.0,0.0,329388.16274417314,0.0,1800.0,1800.0,1800.0,0.0,19200.0,0.0,600.0,2000000.0,4,1.0,25,5.4,44.081889954000005,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,30
1,0,True,80.0,40.0,0.0,0.0,0.0,553233.5061295268,0.0,3000.0,3000.0,3000.0,0.0,33000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.21235442,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,30
0,0,True,35.0,0.0,0.0,0.0,0.0,358800.3994892897,0.0,1800.0,1800.0,1800.0,0.0,21000.0,0.0,600.0,2000000.0,4,1.0,25,5.4,43.94550782,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,31
1,0,True,80.0,40.0,0.0,0.0,0.0,602168.8360069363,0.0,3000.0,3000.0,3000.0,0.0,36000.0,0.0,600.0,3000000.0,4,1.0,25,5.4,34.128815679999995,mcs_pf_csv_fading,40.0,40.0,-63.53885272917442,-114.44727494896694,-100.0,,False,,0,0.0,31
0,0,True,35.0,0.0,0.0,0.0,0.0,399624.39149950386,0.0,2400.0,2400.0,2400.0,0.0,23400.0,0.0,600.0,2000000.0,4,1.0,25,5.4,43.798409094,mcs_pf_csv_fading,40.0,40.0,-48.21771944129625,-114.44727494896694,-100.0,,False,,0,0.0,32
